ID,Product_Name,Material,Price,Product_Page,MRP_Rate,Offer,Estimated_Delivery,Category,Rating,Reviews
4100,Amber Bubble Table Lamp,Fabric Shade,1179,https://vaaree.com/products/amber-bubble-table-lamp,5000,77,2025-03-10,Lamps & Lighting,0,6
2740,Reina Wooden Table Lamp - Green,Fabric Shade,1625,https://vaaree.com/products/reina-wooden-table-lamp-green,3250,50,2025-03-02,Lamps & Lighting,0,3
8755,Diamond Mesh Pendant Lamp,Metal Shade,548,https://vaaree.com/products/diamond-mesh-pendant-lamp,2000,73,2025-03-10,Lamps & Lighting,0,2
8981,Fancy Pants Table Lamp,Fabric Shade,1989,https://vaaree.com/products/fancy-pants-table-lamp,2800,29,2025-03-10,Lamps & Lighting,0,6
3336,Boho Fauna Dome Table Lamp,Fabric Shade,1322,https://vaaree.com/products/boho-fauna-dome-table-lamp,2350,44,2025-03-02,Lamps & Lighting,0,1
3279,Danica-Oh Marigold Table Lamp,Fabric Shade,686,https://vaaree.com/products/danica-oh-marigold-table-lamp,2450,72,2025-03-10,Lamps & Lighting,0,7
5892,Modern Haveli Lantern,Glass Shade,1096,https://vaaree.com/products/modern-haveli-lantern,3300,67,2025-03-10,Lamps & Lighting,0,7
4615,Imane Wall Lamp,Metal Shade,1159,https://vaaree.com/products/imane-wall-lamp,2500,54,2025-03-10,Lamps & Lighting,0,4
8844,Eclipse Wall Lamp,Glass Shade,816,https://vaaree.com/products/eclipse-wall-lamp,2000,60,2025-03-10,Lamps & Lighting,0,6
5901,Fiza Etched Table Lamp - Green,Fabric Shade,1520,https://vaaree.com/products/fiza-etched-table-lamp-green,3000,50,2025-03-02,Lamps & Lighting,0,7
5434,Rosselia Wall Mirror,Iron,1874,https://vaaree.com/products/rosselia-wall-mirror,2610,29,2025-03-10,Mirrors,5,1
6976,Sufiya Wall Mirror,Iron,1155,https://vaaree.com/products/sufiya-wall-mirror,1733,34,2025-03-10,Mirrors,5,1
4012,Omia Blossom Wall Mirror,Iron,1701,https://vaaree.com/products/omia-blossom-wall-mirror,2370,29,2025-03-03,Mirrors,1,1
9455,Aurum Drip Decorative Wall Mirror,Wood,0,https://vaaree.com/products/aurum-drip-decorative-wall-mirror,4999,36,2025-03-03,Mirrors,0,1
1266,Flora Macrame Wall Mirror - Mustard,Cotton,1099,https://vaaree.com/products/flora-macrame-wall-mirror-maroon,1199,9,2025-03-02,Mirrors,4,1
7731,Nisha Vintage Hand Mirror,Aluminum,399,https://vaaree.com/products/nisha-vintage-hand-mirror,699,43,2025-03-02,Mirrors,0,10
4323,Jeneva Wall Mirror - Set Of Two,Iron,1554,https://vaaree.com/products/jeneva-wall-mirror-set-of-two,2331,34,2025-03-10,Mirrors,0,1
6770,Maku Wall Mirror - Tan,Iron,1176,https://vaaree.com/products/maku-wall-mirror-tan,1764,34,2025-03-10,Mirrors,1,1
6363,Aeliana Wall Mirror - Set Of Three,Wood,5556,https://vaaree.com/products/aeliana-wall-mirror-set-of-three,11999,54,2025-03-03,Mirrors,0,1
4941,Floro Finesse Wall Mirror,Iron,1575,https://vaaree.com/products/floro-finesse-wall-mirror,2363,34,2025-03-10,Mirrors,0,1
1551,Celestia Wall Mirror,Wood,0,https://vaaree.com/products/celestia-wall-mirror,6999,48,2025-03-03,Mirrors,0,1
1492,Grama Bloom Wall Mirror,Iron,1981,https://vaaree.com/products/grama-bloom-wall-mirror,2760,29,2025-03-10,Mirrors,3,1
3679,Greek Key Reflection Decorative Wall Mirror - Brown,Wood,0,https://vaaree.com/products/greek-key-reflection-decorative-wall-mirror-brown,6999,50,2025-03-03,Mirrors,0,1
1940,Rose Blush Wall Mirror,Iron,2025,https://vaaree.com/products/rose-blush-wall-mirror,2820,29,2025-03-10,Mirrors,0,1
5245,Solea Wall Mirror,Wood,0,https://vaaree.com/products/solea-wall-mirror-1,9999,59,2025-03-03,Mirrors,0,1
4917,Roshera Bloom Wall Mirror,Iron,1917,https://vaaree.com/products/roshera-bloom-wall-mirror,2670,29,2025-03-03,Mirrors,0,1
5664,Briella Wall Mirror - Set Of Four,Wood,1066,https://vaaree.com/products/briella-wall-mirror-set-of-four,4000,74,2025-03-04,Mirrors,0,10
5710,Artiya Bloom Wall Mirror,Iron,2025,https://vaaree.com/products/artiya-bloom-wall-mirror,2820,29,2025-03-03,Mirrors,0,1
3106,Flora Macrame Wall Mirror - Teal,Cotton,1099,https://vaaree.com/products/flora-macrame-wall-mirror-mustard,1199,9,2025-03-02,Mirrors,1,1
4937,Droplet Wall Mirror,Rattan,1900,https://vaaree.com/products/droplet-wall-mirror,2150,12,2025-03-07,Mirrors,0,1
1541,Hexaga Fuse Mirror,Iron,4999,https://vaaree.com/products/hexaga-fuse-mirror,5999,17,2025-03-04,Mirrors,0,1
1451,Piko Ethnic Wall Mirror,Iron,4999,https://vaaree.com/products/piko-ethnic-wall-mirror,5999,17,2025-03-04,Mirrors,0,1
1052,Eleya Bloom Wall Mirror - Blue,Iron,1831,https://vaaree.com/products/eleya-bloom-wall-mirror-blue,2550,29,2025-03-10,Mirrors,0,1
3769,Rakia Bloom Wall Mirror - Set Of Two,Iron,1034,https://vaaree.com/products/rakia-bloom-wall-mirror-set-of-two,1440,29,2025-03-03,Mirrors,0,10
6830,Oceane Wooden Tall Candle Stand - Set Of Two,Wood,1299,https://vaaree.com/products/oceane-wooden-tall-candle-stand-set-of-two,4800,73,2025-03-02,Religious & Spiritual Items,5,2
4638,Little Budha Smoke Fountain - Blue,Polyresin,280,https://vaaree.com/products/little-budha-smoke-fountain-blue,2999,91,2025-03-03,Religious & Spiritual Items,1,3
5042,Tribal Bonfire Tealight Candle Holder,Metal,1199,https://vaaree.com/products/tribal-bonfire-tealight-candle-holder,2321,49,2025-03-10,Religious & Spiritual Items,5,1
1421,Shubhlabh Pooja Thali Set,German Silver,2625,https://vaaree.com/products/shubhlabh-pooja-thali-set,3938,34,2025-03-10,Religious & Spiritual Items,3,2
3047,Its A Crystal Affair Tealight Candle Holder (Gold) - Set Of Two,Iron,861,https://vaaree.com/products/its-a-crystal-affair-tealight-candle-holder-gold-set-of-two,1292,34,2025-03-02,Religious & Spiritual Items,0,10
7525,Butterfly Shadow Tealight Candle Holder - Set Of Four,Metal,399,https://vaaree.com/products/butterfly-shadow-tealight-candle-holder,699,43,2025-03-10,Religious & Spiritual Items,4,1
3080,Divine Natraj Idol,Aluminum,399,https://vaaree.com/products/divine-natraj-idol,799,51,2025-03-10,Religious & Spiritual Items,3,1
2817,Holy Chakra Latkan,Metal,395,https://vaaree.com/products/holy-chakra-latkan,899,57,2025-03-10,Religious & Spiritual Items,0,10
7079,Sugandha White Sage Smudge Incense Sticks - Pack Of Two,Iron,180,https://vaaree.com/products/sugandha-white-sage-smudge-incense-sticks-pack-of-two,199,10,2025-03-02,Religious & Spiritual Items,5,1
2762,Sino Ethnic Tealight Candle Holder,Iron,499,https://vaaree.com/products/sino-ethnic-tealight-candle-holder,749,34,2025-03-10,Religious & Spiritual Items,0,4
5485,Zen Breeze Scented Incense Sticks - Pack Of Four,Aluminum,275,https://vaaree.com/products/zen-breeze-scented-incense-sticks-pack-of-four,400,32,2025-03-02,Religious & Spiritual Items,4,1
1824,Tripti Decorative Urli,Glass,784,https://vaaree.com/products/tripti-decorative-urli,1176,34,2025-03-10,Religious & Spiritual Items,0,4
2443,Mayoor Bless Diya,Brass,315,https://vaaree.com/products/mayoor-bless-diya,799,61,2025-03-10,Religious & Spiritual Items,5,1
1568,Multicolor Tealight Candle Holders - Set Of Ten,Polyresin,599,https://vaaree.com/products/multicolor-tealight-candle-holders-set-of-ten,719,17,2025-03-03,Religious & Spiritual Items,1,1
3716,Brass Panchmukhi Hanuman Idol,Iron,960,https://vaaree.com/products/brass-panchmukhi-hanuman-idol,1299,27,2025-03-02,Religious & Spiritual Items,5,1
7389,Lord Ganesha Smoke Fountain,Marble,340,https://vaaree.com/products/lord-ganesha-smoke-fountain,2999,89,2025-03-02,Religious & Spiritual Items,0,10
3162,Its A Crystal Affair Tall Tealight Candle Holder - Set Of Two,Polyresin,924,https://vaaree.com/products/its-a-crystal-affair-tall-tealight-candle-holder-set-of-two,1386,34,2025-03-10,Religious & Spiritual Items,1,1
2612,Saraswati Devi Idol,Brass,2799,https://vaaree.com/products/saraswati-devi-idol,4199,34,2025-03-01,Religious & Spiritual Items,4,4
2333,Shiva Sagar Idol,Metal,920,https://vaaree.com/products/shiva-sagar-idol,2999,70,2025-03-02,Religious & Spiritual Items,0,10
4550,Om Swastik Brass Diya,Ceramic,340,https://vaaree.com/products/om-swastik-brass-diya,499,32,2025-03-02,Religious & Spiritual Items,2,1
7057,Lantern Lore Tealight Candle Holder - White,Metal,260,https://vaaree.com/products/lantern-lore-tealight-candle-holder-white,999,74,2025-03-02,Religious & Spiritual Items,0,10
5997,Ethnic Mix Festive Bell - Set Of Two,Unknown,799,https://vaaree.com/products/ethnic-mix-festive-bell-set-of-two,999,20,2025-03-01,Religious & Spiritual Items,0,10
3134,Shri Ganesha And Lakshmi Tealight Candle Holder - Set Of Two,Unknown,260,https://vaaree.com/products/shri-ganesha-and-lakshmi-tealight-candle-holder-set-of-two,899,72,2025-03-02,Religious & Spiritual Items,3,3
3312,Sugandha Herbs & Flowers Smudge Incense Sticks - Pack Of Four,Unknown,340,https://vaaree.com/products/sugandha-herbs-flowers-smudge-incense-sticks-pack-of-four,450,25,2025-03-03,Religious & Spiritual Items,0,404
3773,Parental Bonding Showpiece - Set Of Two,Iron,647,https://vaaree.com/products/parental-bonding-showpiece-set-of-two,1100,42,2025-03-10,"Showpieces, Vases & Accent Bowls",3,1
4446,Owl Play Showpiece,Polyresin,849,https://vaaree.com/products/owl-play-showpiece,1274,34,2025-03-10,"Showpieces, Vases & Accent Bowls",0,4
8335,Gramophone Vibes Showpiece,Brass,378,https://vaaree.com/products/gramophone-vibes-showpiece,567,34,2025-03-10,"Showpieces, Vases & Accent Bowls",0,17
9669,Literary Escape Typography Showpiece - Set Of Two,Iron,485,https://vaaree.com/products/literary-escape-typography-showpiece-set-of-two,900,47,2025-03-10,"Showpieces, Vases & Accent Bowls",5,2
9280,Graceful Elegance Showpiece - Set Of Two,Iron,647,https://vaaree.com/products/graceful-elegance-showpiece-set-of-two,1100,42,2025-03-10,"Showpieces, Vases & Accent Bowls",0,5
2775,Whimsy Paperbag Vase - Blue,Ceramic,564,https://vaaree.com/products/whimsy-paperbag-vase-blue,2000,72,2025-03-10,"Showpieces, Vases & Accent Bowls",5,2
5795,Fika Vases - Set of Two,Ceramic,899,https://vaaree.com/products/fika-vases-set-of-two,1499,40,2025-03-10,"Showpieces, Vases & Accent Bowls",0,9
4026,Baby Monk Showpiece,Polyresin,260,https://vaaree.com/products/baby-monk-showpiece,1299,80,2025-03-03,"Showpieces, Vases & Accent Bowls",0,8
2280,The Faces Vases - Set of Two,Ceramic,1499,https://vaaree.com/products/the-faces-vases-set-of-two,2499,40,2025-03-10,"Showpieces, Vases & Accent Bowls",5,2
9018,Law and Order Showpiece - Set Of Two,Iron,526,https://vaaree.com/products/law-and-order-showpiece-set-of-two,950,45,2025-03-10,"Showpieces, Vases & Accent Bowls",5,1
9881,Gramaphone Antique Showpiece,Brass,500,https://vaaree.com/products/gramaphone-antique-showpiece,1199,59,2025-03-03,"Showpieces, Vases & Accent Bowls",2,3
8216,Dreams to Reality Typography Showpiece - Set Of Two,Iron,485,https://vaaree.com/products/dreams-to-reality-typography-showpiece-set-of-two,900,47,2025-03-10,"Showpieces, Vases & Accent Bowls",0,10
5402,Leafy Twist Ceramic Vase,Ceramic,724,https://vaaree.com/products/leafy-twist-ceramic-vase,4000,82,2025-03-10,"Showpieces, Vases & Accent Bowls",0,10
7165,Baby Monk Showpiece - Set Of Four,Polyresin,520,https://vaaree.com/products/baby-monk-showpiece-set-of-four,999,48,2025-03-09,"Showpieces, Vases & Accent Bowls",0,5
4709,Melrose Tribal Terracotta Vase - Set Of Three,Terracotta,1385,https://vaaree.com/products/melrose-tribal-terracotta-vase-set-of-three,1849,26,2025-03-10,"Showpieces, Vases & Accent Bowls",0,7
7000,Meow Showpiece - Black,Resin,1199,https://vaaree.com/products/meow-showpiece-black,1799,34,2025-03-10,"Showpieces, Vases & Accent Bowls",0,3
2413,Spunky Splash Vase - White,Ceramic,770,https://vaaree.com/products/spunky-splash-vase-white,2900,74,2025-03-10,"Showpieces, Vases & Accent Bowls",5,1
5617,Cricketer Showpiece - Set Of Two,Iron,526,https://vaaree.com/products/cricketer-showpiece-set-of-two,950,45,2025-03-10,"Showpieces, Vases & Accent Bowls",0,7
3477,Panther Art Grace Showpiece,Resin,1199,https://vaaree.com/products/panther-art-grace-showpiece,1799,34,2025-03-10,"Showpieces, Vases & Accent Bowls",1,1
2255,Spill The Milk Showpiece,Resin,999,https://vaaree.com/products/spill-the-milk-showpiece,1499,34,2025-03-01,"Showpieces, Vases & Accent Bowls",2,3
4558,Simplicity with Significance Typography Showpiece - Set Of Two,Iron,485,https://vaaree.com/products/simplicity-with-significance-typography-showpiece-set-of-two,900,47,2025-03-10,"Showpieces, Vases & Accent Bowls",5,1
